frame,support_len,confidence_sum
491,10,8.132500
492,10,8.134475
493,9,7.327580
494,10,8.117861
495,9,7.315532
496,11,8.946747
497,8,6.509684
498,10,8.140265
499,11,8.961890
500,9,7.323419
501,10,8.146539
502,10,8.139364
503,9,7.284882
504,10,8.099755
505,9,7.292784
506,10,8.111098
507,10,8.113675
508,10,8.111254
509,10,9.571582
510,10,9.887068
511,9,7.572781
512,9,7.802399
513,9,7.567696
514,10,8.702548
515,11,10.582215
516,9,8.904390
517,10,8.090815
518,10,8.108613
519,9,7.290133
520,10,8.091419
521,8,6.493802
522,10,8.122888
523,9,7.306210
524,10,8.122123
525,11,8.948536
526,9,7.317731
527,9,7.302241
528,10,8.128808
529,11,8.923739
530,9,7.317149
531,9,7.297274
532,10,8.119444
533,11,8.939182
534,9,7.317085
535,10,8.128170
536,10,8.118925
537,10,8.117890
538,9,8.685780
539,8,7.790638
540,10,9.771999
541,9,8.722304
542,18,17.301587
543,2,1.920635
544,9,8.684004
545,9,8.669007
546,9,7.984261
547,10,8.882600
548,11,10.592286
549,8,7.806244
550,10,9.684874
551,8,7.841831
552,10,9.651077
553,10,9.793545
554,11,10.721565
555,9,8.688190
556,10,9.785558
557,11,9.248219
558,10,8.401950
559,9,8.101835
560,9,7.956248
561,10,9.815834
562,10,9.797113
563,10,9.767504
564,9,8.786269
565,9,7.982822
566,10,9.079770
567,9,8.590503
568,10,9.452419
569,9,8.507516
570,10,9.763752
571,10,9.456313
572,11,10.792903
573,8,7.794872
574,10,9.736118
575,9,8.700611
576,10,9.665069
577,9,8.824761
578,10,9.691120
579,10,9.642384
580,9,8.005814
581,10,9.649710
582,10,9.664351
583,10,9.638605
584,10,9.653624
585,10,9.758462
586,9,8.769231
587,8,7.794872
588,10,9.794968
589,10,9.705875
590,10,9.755837
591,9,8.842397
592,9,8.849081
593,9,8.880662
594,9,7.756618
595,10,8.398577
596,9,7.703282
597,9,8.555734
598,10,9.714238
599,9,8.640585
600,11,10.884969
601,9,8.869540
602,10,8.985707
603,9,8.449926
604,9,8.833293
